
@relation query

@attribute dataset_name {letter,mushroom,nursery,optdigits,page-blocks,pendigits,waveform-5000,adult,covertype,satimage,kropt}
@attribute alg_name {weka.AdaBoostM1,weka.ADTree,weka.AODE,weka.AttributeSelectedClassifier,weka.Bagging,weka.BayesNet,weka.ClassificationViaRegression,weka.ConjunctiveRule,weka.CVParameterSelection,weka.DecisionStump,weka.DecisionTable,weka.Decorate,weka.FilteredClassifier,weka.HyperPipes,weka.IB1,weka.IBk,weka.Id3,weka.J48,weka.JRip,weka.LBR,weka.LMT,weka.Logistic,weka.LogitBoost,weka.LWL,weka.MultiBoostAB,weka.MultiClassClassifier,weka.MultilayerPerceptron,weka.MultiScheme,weka.NaiveBayes,weka.NaiveBayesSimple,weka.NaiveBayesUpdateable,weka.NBTree,weka.NNge,weka.OneR,weka.OrdinalClassClassifier,weka.PART,weka.Prism,weka.RacedIncrementalLogitBoost,weka.RandomCommittee,weka.RandomForest,weka.RandomTree,weka.RBFNetwork,weka.REPTree,weka.Ridor,weka.SimpleLogistic,weka.SMO,weka.Stacking,weka.StackingC,weka.ThresholdSelector,weka.VFI,weka.Vote,weka.VotedPerceptron,weka.Winnow,weka.ZeroR}
@attribute build_CPU numeric
@attribute build_mem numeric
@attribute run_CPU numeric
@attribute run_mem numeric
@attribute pred_acc numeric

@data
letter,weka.SMO,27.94,1.58619e+08,388,4.6234e+08,0.8395
letter,weka.SMO,35.92,1.11209e+08,519,4.76432e+08,0.8393
letter,weka.SMO,34.4,1.11197e+08,524,4.88196e+08,0.83935
letter,weka.SMO,27.37,1.58613e+08,396,4.56e+08,0.83935
letter,weka.SMO,35.84,1.11241e+08,497,4.62716e+08,0.83925
letter,weka.SMO,30.91,1.11257e+08,432,4.5834e+08,0.8396
letter,weka.SMO,30.45,1.58759e+08,448,4.33408e+08,0.8394
letter,weka.SMO,31.9,1.11107e+08,482,4.90676e+08,0.83945
letter,weka.SMO,30.61,1.11151e+08,460,4.63444e+08,0.83925
letter,weka.SMO,28.9,1.1112e+08,453,4.4418e+08,0.83935
letter,weka.SMO,31.45,1.11176e+08,439,4.53612e+08,0.83935
letter,weka.SMO,32.49,1.11096e+08,476,4.56884e+08,0.8394
letter,weka.SMO,31.32,1.11264e+08,438,4.5938e+08,0.8396
letter,weka.SMO,28.45,1.11081e+08,436,4.49964e+08,0.83935
letter,weka.SMO,37.37,1.58789e+08,523,4.66308e+08,0.83945
letter,weka.SMO,34.42,1.11058e+08,567,4.74064e+08,0.8429
letter,weka.SMO,34.64,1.11119e+08,548,4.7898e+08,0.8429
letter,weka.SMO,33.96,1.11092e+08,484,4.46124e+08,0.84295
letter,weka.SMO,43.51,1.58665e+08,577,4.35928e+08,0.843
letter,weka.SMO,33.31,1.58779e+08,485,4.68288e+08,0.8431
letter,weka.SMO,34.42,1.11119e+08,539,4.59236e+08,0.84315
letter,weka.SMO,36.73,1.11123e+08,492,4.54896e+08,0.84295
letter,weka.SMO,34.31,1.11136e+08,491,4.59272e+08,0.8429
letter,weka.SMO,45.52,1.11079e+08,594,4.78068e+08,0.8431
letter,weka.SMO,42.59,1.74686e+08,576,4.80504e+08,0.84305
letter,weka.SMO,36.63,1.11145e+08,504,4.55144e+08,0.84285
letter,weka.SMO,39.72,1.11108e+08,511,4.81172e+08,0.84305
letter,weka.SMO,39.49,1.66725e+08,510,5.21972e+08,0.84315
letter,weka.SMO,41.94,1.11111e+08,608,5.04244e+08,0.84295
letter,weka.SMO,39.89,1.11206e+08,558,5.21456e+08,0.84305
letter,weka.SMO,46.92,3.00343e+08,606,5.3442e+08,0.84315
letter,weka.SMO,38.61,1.58774e+08,503,4.44656e+08,0.84305
letter,weka.SMO,37.6,1.11101e+08,508,4.732e+08,0.8429
letter,weka.SMO,43.33,1.5865e+08,578,4.37432e+08,0.8429
letter,weka.SMO,37.4,1.11099e+08,524,4.4674e+08,0.8432
letter,weka.SMO,40.72,1.1114e+08,557,4.92224e+08,0.8453
letter,weka.SMO,34.27,1.11132e+08,534,4.46488e+08,0.8452
letter,weka.SMO,33.11,1.11108e+08,482,4.363e+08,0.8451
letter,weka.SMO,39.7,1.1114e+08,497,4.41888e+08,0.84515
letter,weka.SMO,37.18,1.11123e+08,459,4.52388e+08,0.8452
letter,weka.SMO,33.82,1.11144e+08,487,5.13616e+08,0.84525
letter,weka.SMO,38.89,1.32461e+08,414.62,4.65252e+08,0.84525
letter,weka.SMO,40.76,1.11078e+08,555,4.82624e+08,0.84515
letter,weka.SMO,35.85,1.11196e+08,473,4.53484e+08,0.84515
letter,weka.SMO,33.4,1.11085e+08,503,4.4706e+08,0.8454
letter,weka.SMO,37.61,1.1112e+08,547,4.85424e+08,0.8452
letter,weka.SMO,34.42,1.1112e+08,510,4.51748e+08,0.8453
letter,weka.SMO,33.29,1.11081e+08,464,4.6222e+08,0.84535
letter,weka.SMO,33.62,1.11113e+08,489,4.87264e+08,0.8452
letter,weka.SMO,35.3,1.58647e+08,515,4.84612e+08,0.8453
letter,weka.SMO,32.63,1.11124e+08,462,4.42796e+08,0.84535
letter,weka.SMO,37.5,1.11069e+08,503,4.46264e+08,0.84545
