% Query:
% SELECT li.name as alg_name, d.name as dataset, e.eid as id, ev.evalue as accuracy
% FROM
% dataset d,
% data_property_value dp,
% experiment e,
% learner_application la,
% learner_implementation li,
% evaluation ev
% WHERE d.did = dp.did and dp.dpid = 9 and dp.value >= 5000 and
% d.did = e.did and la.laid = e.laid  and
% e.eid = ev.eid and ev.emiid = 6 and la.liid = li.liid and
% li.name = "weka.J48"

alg_name,dataset,id,accuracy
weka.J48,pendigits,134348,0.964156
weka.J48,waveform-5000,192856,0.759
weka.J48,kropt,247317,0.487846
weka.J48,letter,73587,0.87625
weka.J48,mushroom,117827,1
weka.J48,optdigits,121179,0.907473
weka.J48,nursery,123969,0.959954
weka.J48,page-blocks,129458,0.970217
weka.J48,pendigits,134349,0.964156
weka.J48,waveform-5000,192857,0.759
weka.J48,kropt,247318,0.487846
weka.J48,letter,73588,0.87625
weka.J48,mushroom,117828,1
weka.J48,optdigits,121181,0.907473
weka.J48,nursery,123970,0.959954
weka.J48,page-blocks,129459,0.970217
weka.J48,pendigits,134350,0.964156
weka.J48,waveform-5000,192858,0.759
weka.J48,adult,234365,0.845133
weka.J48,kropt,247319,0.487846
weka.J48,letter,73589,0.87625
weka.J48,mushroom,117829,1
weka.J48,optdigits,121183,0.907473
weka.J48,nursery,123971,0.959954
weka.J48,page-blocks,129460,0.970217
weka.J48,pendigits,134351,0.964156
weka.J48,waveform-5000,192859,0.759
weka.J48,covertype,238684,0.845063
weka.J48,kropt,247320,0.487846
weka.J48,letter,73590,0.87625
weka.J48,mushroom,117831,1
weka.J48,optdigits,121184,0.907473
weka.J48,nursery,123973,0.959954
weka.J48,page-blocks,129461,0.970217
weka.J48,pendigits,134352,0.964156
weka.J48,waveform-5000,192860,0.759
weka.J48,covertype,238685,0.845063
weka.J48,kropt,247321,0.487846
weka.J48,letter,73591,0.87625
weka.J48,mushroom,117832,1
weka.J48,optdigits,121186,0.907473
weka.J48,nursery,123974,0.959954
weka.J48,page-blocks,129463,0.970217
weka.J48,pendigits,134353,0.964156
weka.J48,waveform-5000,192861,0.759
weka.J48,covertype,238686,0.845063
weka.J48,kropt,247322,0.487846
weka.J48,letter,73592,0.87625
weka.J48,mushroom,117834,1
weka.J48,optdigits,121188,0.907473
weka.J48,nursery,123976,0.959954
weka.J48,page-blocks,129464,0.970217
weka.J48,pendigits,134354,0.964156
weka.J48,waveform-5000,192862,0.759
weka.J48,adult,234369,0.845133
weka.J48,kropt,247323,0.487846
weka.J48,letter,73593,0.87625
weka.J48,mushroom,117835,1
weka.J48,optdigits,121189,0.907473
weka.J48,nursery,123978,0.959954
weka.J48,page-blocks,129465,0.970217
weka.J48,pendigits,134355,0.964156
weka.J48,waveform-5000,192863,0.759
weka.J48,covertype,238688,0.845063
weka.J48,kropt,247324,0.487846
weka.J48,letter,73594,0.87625
weka.J48,mushroom,117837,1
weka.J48,optdigits,121191,0.907473
weka.J48,nursery,123979,0.959954
weka.J48,page-blocks,129467,0.970217
weka.J48,pendigits,134356,0.964156
weka.J48,waveform-5000,192864,0.759
weka.J48,kropt,247325,0.487846
weka.J48,letter,73595,0.87625
weka.J48,mushroom,117838,1
weka.J48,optdigits,121193,0.907473
weka.J48,nursery,123981,0.959954
weka.J48,page-blocks,129468,0.970217
weka.J48,pendigits,134357,0.964156
weka.J48,waveform-5000,192865,0.759
weka.J48,adult,234372,0.845133
weka.J48,kropt,247326,0.487846
weka.J48,letter,73596,0.87625
weka.J48,mushroom,117840,1
weka.J48,optdigits,121195,0.907473
weka.J48,nursery,123982,0.959954
weka.J48,page-blocks,129469,0.970217
weka.J48,pendigits,134358,0.964156
weka.J48,waveform-5000,192866,0.759
weka.J48,kropt,247327,0.487846
weka.J48,letter,73597,0.87625
weka.J48,mushroom,117841,1
weka.J48,optdigits,121197,0.907473
weka.J48,nursery,123984,0.959954
weka.J48,page-blocks,129470,0.970217
weka.J48,pendigits,134359,0.964156
weka.J48,waveform-5000,192867,0.759
weka.J48,kropt,247328,0.487846
weka.J48,letter,73598,0.87625
weka.J48,mushroom,117842,1
weka.J48,optdigits,121199,0.907473
weka.J48,nursery,123985,0.959954
weka.J48,page-blocks,129472,0.970217
weka.J48,pendigits,134360,0.964156
weka.J48,waveform-5000,192868,0.759
weka.J48,covertype,238693,0.845063
weka.J48,kropt,247329,0.487846
weka.J48,letter,73599,0.87625
weka.J48,mushroom,117844,1
weka.J48,optdigits,121201,0.907473
weka.J48,nursery,123987,0.959954
weka.J48,page-blocks,129473,0.970217
weka.J48,pendigits,134361,0.964156
weka.J48,waveform-5000,192869,0.759
weka.J48,kropt,247330,0.487846
weka.J48,letter,73600,0.87625
weka.J48,mushroom,117845,1
weka.J48,optdigits,121203,0.907473
weka.J48,nursery,123988,0.959954
weka.J48,page-blocks,129474,0.970217
weka.J48,pendigits,134362,0.964156
weka.J48,waveform-5000,192870,0.759
weka.J48,adult,234377,0.845133
weka.J48,kropt,247331,0.487846
weka.J48,letter,73601,0.87625
weka.J48,mushroom,117847,1
weka.J48,optdigits,121205,0.907473
weka.J48,nursery,123990,0.959954
weka.J48,page-blocks,129475,0.970217
weka.J48,pendigits,134363,0.964156
weka.J48,waveform-5000,192871,0.759
weka.J48,kropt,247332,0.487846
weka.J48,letter,73602,0.87625
weka.J48,mushroom,117848,1
weka.J48,optdigits,121207,0.907473
weka.J48,nursery,123991,0.959954
weka.J48,page-blocks,129477,0.970217
weka.J48,pendigits,134364,0.964156
weka.J48,waveform-5000,192872,0.759
weka.J48,adult,234379,0.845133
weka.J48,kropt,247333,0.487846
weka.J48,letter,73604,0.87625
weka.J48,mushroom,117850,1
weka.J48,optdigits,121209,0.907473
weka.J48,nursery,123993,0.959954
weka.J48,page-blocks,129480,0.970217
weka.J48,pendigits,134365,0.964156
weka.J48,waveform-5000,192873,0.759
weka.J48,adult,234380,0.845133
weka.J48,kropt,247334,0.487846
weka.J48,letter,73607,0.87625
weka.J48,mushroom,117851,1
weka.J48,optdigits,121212,0.907473
weka.J48,nursery,123994,0.959954
weka.J48,page-blocks,129484,0.970217
weka.J48,pendigits,134366,0.964156
weka.J48,waveform-5000,192874,0.759
weka.J48,adult,234381,0.845133
weka.J48,covertype,238699,0.845063
weka.J48,kropt,247335,0.487846
weka.J48,letter,73610,0.8786
weka.J48,mushroom,117853,1
weka.J48,optdigits,121213,0.907473
weka.J48,nursery,123996,0.961806
weka.J48,page-blocks,129485,0.969669
weka.J48,pendigits,134367,0.964702
weka.J48,waveform-5000,192875,0.7554
weka.J48,adult,234382,0.848614
weka.J48,kropt,247336,0.526162
weka.J48,letter,73612,0.8786
weka.J48,mushroom,117854,1
weka.J48,optdigits,121216,0.907473
weka.J48,nursery,123997,0.961806
weka.J48,page-blocks,129486,0.969669
weka.J48,pendigits,134368,0.964702
weka.J48,waveform-5000,192876,0.7554
weka.J48,adult,234383,0.848614
weka.J48,kropt,247337,0.526162
weka.J48,letter,73615,0.8786
weka.J48,mushroom,117855,1
weka.J48,optdigits,121218,0.907473
weka.J48,nursery,123999,0.961806
weka.J48,page-blocks,129487,0.969669
weka.J48,pendigits,134369,0.964702
weka.J48,waveform-5000,192877,0.7554
weka.J48,kropt,247338,0.526162
weka.J48,letter,73618,0.8786
weka.J48,mushroom,117857,1
weka.J48,optdigits,121220,0.907473
weka.J48,nursery,124000,0.961806
weka.J48,page-blocks,129489,0.969669
weka.J48,pendigits,134370,0.964702
weka.J48,waveform-5000,192878,0.7554
weka.J48,kropt,247339,0.526162
weka.J48,letter,73621,0.8786
weka.J48,mushroom,117858,1
weka.J48,optdigits,121222,0.907473
weka.J48,nursery,124002,0.961806
weka.J48,page-blocks,129490,0.969669
weka.J48,pendigits,134371,0.964702
weka.J48,waveform-5000,192879,0.7554
weka.J48,kropt,247340,0.526162
weka.J48,letter,73624,0.8786
weka.J48,mushroom,117860,1
weka.J48,optdigits,121224,0.907473
weka.J48,nursery,124003,0.961806
weka.J48,page-blocks,129492,0.969669
weka.J48,pendigits,134372,0.964702
weka.J48,waveform-5000,192880,0.7554
weka.J48,kropt,247341,0.526162
weka.J48,letter,73627,0.8786
weka.J48,mushroom,117861,1
weka.J48,optdigits,121226,0.907473
weka.J48,nursery,124005,0.961806
weka.J48,page-blocks,129493,0.969669
weka.J48,pendigits,134373,0.964702
weka.J48,waveform-5000,192881,0.7554
weka.J48,kropt,247342,0.526162
weka.J48,letter,73630,0.8786
weka.J48,mushroom,117862,1
weka.J48,optdigits,121228,0.907473
weka.J48,nursery,124006,0.961806
weka.J48,page-blocks,129494,0.969669
weka.J48,pendigits,134374,0.964702
weka.J48,waveform-5000,192882,0.7554
weka.J48,covertype,238707,0.848532
weka.J48,kropt,247343,0.526162
weka.J48,letter,73633,0.8786
weka.J48,mushroom,117864,1
weka.J48,optdigits,121231,0.907473
weka.J48,nursery,124008,0.961806
weka.J48,page-blocks,129495,0.969669
weka.J48,pendigits,134375,0.964702
weka.J48,waveform-5000,192883,0.7554
weka.J48,adult,234390,0.848614
weka.J48,satimage,243026,0.86703
weka.J48,kropt,247344,0.526162
weka.J48,letter,73636,0.8786
weka.J48,mushroom,117865,1
weka.J48,optdigits,121233,0.907473
weka.J48,nursery,124009,0.961806
weka.J48,page-blocks,129497,0.969669
weka.J48,pendigits,134376,0.964702
weka.J48,waveform-5000,192884,0.7554
weka.J48,kropt,247345,0.526162
weka.J48,letter,73638,0.8786
weka.J48,mushroom,117867,1
weka.J48,optdigits,121235,0.907473
weka.J48,nursery,124010,0.961806
weka.J48,page-blocks,129498,0.969669
weka.J48,pendigits,134377,0.964702
weka.J48,waveform-5000,192885,0.7554
weka.J48,adult,234392,0.848614
weka.J48,kropt,247346,0.526162
weka.J48,letter,73641,0.8786
weka.J48,mushroom,117868,1
weka.J48,optdigits,121237,0.907473
weka.J48,nursery,124012,0.961806
weka.J48,page-blocks,129500,0.969669
weka.J48,pendigits,134378,0.964702
weka.J48,waveform-5000,192886,0.7554
weka.J48,kropt,247347,0.526162
weka.J48,letter,73644,0.8786
weka.J48,mushroom,117870,1
weka.J48,optdigits,121239,0.907473
weka.J48,nursery,124013,0.961806
weka.J48,page-blocks,129501,0.969669
weka.J48,pendigits,134379,0.964702
weka.J48,waveform-5000,192887,0.7554
weka.J48,kropt,247348,0.526162
weka.J48,letter,73647,0.8786
weka.J48,mushroom,117871,1
weka.J48,optdigits,121241,0.907473
weka.J48,nursery,124015,0.961806
weka.J48,page-blocks,129502,0.969669
weka.J48,pendigits,134380,0.964702
weka.J48,waveform-5000,192888,0.7554
weka.J48,letter,73650,0.8786
weka.J48,mushroom,117872,1
weka.J48,optdigits,121242,0.907473
weka.J48,nursery,124016,0.961806
weka.J48,page-blocks,129504,0.969669
weka.J48,pendigits,134381,0.964702
weka.J48,waveform-5000,192889,0.7554
weka.J48,kropt,247350,0.526162
weka.J48,letter,73653,0.8786
weka.J48,mushroom,117874,1
weka.J48,optdigits,121244,0.907473
weka.J48,nursery,124018,0.961806
weka.J48,page-blocks,129505,0.969669
weka.J48,pendigits,134382,0.964702
weka.J48,waveform-5000,192890,0.7554
weka.J48,kropt,247351,0.526162
weka.J48,letter,73656,0.8786
weka.J48,mushroom,117875,1
weka.J48,optdigits,121246,0.907473
weka.J48,nursery,124019,0.961806
weka.J48,page-blocks,129506,0.969669
weka.J48,pendigits,134383,0.964702
